step,train_loss,val_loss,train_acc,val_acc,in_context_acc
0,0.6931473612785339,0.6832461953163147,0.4950000047683716,0.9610000252723694,0.9933500289916992
1,0.6830556988716125,0.6832461953163147,0.9829999804496765,0.9610000252723694,0.9933500289916992
2,0.6734762191772461,0.6832461953163147,0.9940000176429749,0.9610000252723694,0.9933500289916992
3,0.6634790301322937,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
4,0.6546533703804016,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
5,0.6446986794471741,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
6,0.63563072681427,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
7,0.6259122490882874,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
8,0.6180680990219116,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
9,0.6101619005203247,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
10,0.6008141040802002,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
11,0.592223584651947,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
12,0.5852448344230652,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
13,0.5779013633728027,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
14,0.5694290995597839,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
15,0.5630944967269897,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
16,0.5543524026870728,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
17,0.547003984451294,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
18,0.5393552780151367,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
19,0.5341354608535767,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
20,0.5256949663162231,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
21,0.5181817412376404,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
22,0.5137099027633667,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
23,0.5073351860046387,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
24,0.5022264719009399,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
25,0.49485212564468384,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
26,0.4899260401725769,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
27,0.48343023657798767,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
28,0.47709792852401733,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
29,0.46988990902900696,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
30,0.4671935737133026,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
31,0.46011853218078613,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
32,0.4547698497772217,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
33,0.4506796896457672,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
34,0.44633030891418457,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
35,0.4392523765563965,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
36,0.4344208240509033,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
37,0.4295048415660858,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
38,0.42507806420326233,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
39,0.4184351861476898,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
40,0.41572850942611694,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
41,0.40988752245903015,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
42,0.40549013018608093,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
43,0.40167295932769775,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
44,0.39967817068099976,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
45,0.394803911447525,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
46,0.3902945816516876,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
47,0.3837963938713074,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
48,0.3839608132839203,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
49,0.3781801760196686,0.6832461953163147,1.0,0.9610000252723694,0.9933500289916992
50,0.3766436278820038,0.37110599875450134,1.0,1.0,1.0
